customer_id,renta,condiciones_conduccion,vacaciones,sector,comunidad_autonoma,familia,tipo_combustible,uso_habitual,cambio,plaza_parking,frecuencia_uso,experiencia_conduccion,car_id,Maker,Version,Price,Year,Kms,Potencia,Caja_velocidades,presupuesto,tipo_combustible,Puertas,Plazas,Marca
2610,60000 - 100000,nieve,ciudad,Tecnología,Aragón,"Si, pequeña",diesel,uso particular habitual,Manual,No,diario,experto,1,Abarth 595,595C 1.4T JET TURISMO AUT.,17990,2021,63.037km,165CV,Automatico,"15,000-20,000",Gasolina,4,4,Abarth
4614,20000 - 35000,buen clima,playa,Salud,Galicia,"Si, grande",electrico,uso particular habitual,Manual,Si,ocasional,intermedio,3,Alfa Romeo Giulietta,1.6JTD Super 120,13890,2019,139.240km,120CV,Manual,"10,000-15,000",Diesel,4,5,Alfa
2461,20000 - 35000,nieve,montaña,Transporte y Logística,Extremadura,"Si, pequeña",electrico,uso particular habitual,Manual,No,diario,intermedio,6,Alfa Romeo Stelvio,2.2 Sprint RWD 190 Aut.,22490,2020,111.340km,190CV,Automatico,"20,000-30,000",Diesel,4,5,Alfa
795,35000-60000,nieve,playa,Comercio,Cataluña,"Si, pequeña",electrico,uso particular habitual,Automatico,No,diario,intermedio,12,Alfa Romeo Tonale,1.5 MHEV Sprint FWD,21790,2023,22.396km,130CV,Automatico,"20,000-30,000",Hibrido,4,5,Alfa
2955,-12000,nieve,montaña,Comercio,Baleares,"Si, pequeña",gasolina,uso particular ocasional,Automatico,No,diario,intermedio,14,Alfa Romeo Tonale,1.5 MHEV Sprint FWD,21790,2023,35.935km,130CV,Automatico,"20,000-30,000",Hibrido,4,5,Alfa
2604,35000-60000,off-road,montaña,Energía,La Rioja,No,gasolina,uso particular habitual,Automatico,Si,diario,novato,16,Alfa Romeo Tonale,1.5 MHEV Sprint FWD,22690,2023,23.814km,130CV,Automatico,"20,000-30,000",Hibrido,4,5,Alfa
2755,20000 - 35000,buen clima,montaña,Salud,Aragón,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si,semanal,experto,16,Alfa Romeo Tonale,1.5 MHEV Sprint FWD,22690,2023,23.814km,130CV,Automatico,"20,000-30,000",Hibrido,4,5,Alfa
4282,20000 - 35000,buen clima,montaña,Servicios Financieros,Andalucía,"Si, grande",diesel,uso particular habitual,Manual,Si,diario,intermedio,17,Alfa Romeo Tonale,1.5 MHEV Sprint FWD,22990,2023,16.373km,130CV,Automatico,"20,000-30,000",Hibrido,4,5,Alfa
3708,60000 - 100000,buen clima,playa,Entretenimiento y Medios,La Rioja,No,gasolina,uso particular ocasional,Manual,Si,semanal,experto,18,Audi A1,1.4TDI Adrenalin2,10890,2016,130.211km,90CV,Manual,"10,000-15,000",Diesel,4,5,Audi
4153,35000-60000,buen clima,playa,Comercio,Andalucía,"Si, grande",diesel,uso particular ocasional,Automatico,No,ocasional,novato,18,Audi A1,1.4TDI Adrenalin2,10890,2016,130.211km,90CV,Manual,"10,000-15,000",Diesel,4,5,Audi
