Maker,Version,Price,URL Producto,URL Imagen,Year,Kms,Potencia,Caja_velocidades,presupuesto,tipo_combustible.1,Puertas,Plazas,Marca
Abarth 595,1.4T JET,16590,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-abarth-595-595-1-4t-jet-107kw-145-compacto-manual-2022-102942,https://storage.googleapis.com/clicars-storage-prod-public/photos/05/65/14/f278134ac90ffd614aadad00a97507ab-23303623-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2022,35.973km,145CV,Manual,"15,000-20,000",Gasolina,4,4,Abarth
Alfa Romeo Tonale,1.5 MHEV Sprint FWD,24590,https://www.clicars.com/coches-nuevos-km0/comprar-alfa-romeo-tonale-tonale-1-5-mhev-sprint-fwd-130-suv-y-4x4-automatico-2023-99206,https://storage.googleapis.com/clicars-storage-prod-public/photos/54/66/14/1ed2ad3f8900756d9935ab0976908015-23352784-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2023,9.909km,130CV,Automatico,"20,000-30,000",Hibrido,4,5,Alfa
Audi A1,Sportback 1.6TDI Adrenalin,13190,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a1-a1-sportback-1-6tdi-adrenalin-116-compacto-manual-2017-103977,https://storage.googleapis.com/clicars-storage-prod-public/photos/00/68/14/a1c256bfd9671be99753d888fe46d6cf-23409224-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2017,137.174km,116CV,Manual,"10,000-15,000",Diesel,4,5,Audi
Audi A1,Sportback 25 TFSI Advanced,15490,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a1-a1-sportback-25-tfsi-advanced-95-compacto-manual-2021-101432,https://storage.googleapis.com/clicars-storage-prod-public/photos/83/60/14/3391d6c3a092a10dd5944c8a049771ce-23144830-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2021,92.862km,95CV,Manual,"15,000-20,000",Gasolina,4,5,Audi
Audi A1,Sportback 35 TFSI S line S tronic,19590,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a1-a1-sportback-35-tfsi-s-line-s-tronic-150-compacto-automatico-2020-101949,https://storage.googleapis.com/clicars-storage-prod-public/photos/09/57/14/0acd7e0981da259eda849220e5f6fe46-22981495-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,106.262km,150CV,Automatico,"15,000-20,000",Gasolina,4,5,Audi
Audi A3,Sedán 35TDI Advanced S tronic,24090,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sedan-35tdi-advanced-s-tronic-150-berlina-automatico-2020-103495,https://storage.googleapis.com/clicars-storage-prod-public/photos/33/42/54/d09911a49342bc04d8a41881f690d048-23291013-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,72.711km,150CV,Automatico,"20,000-30,000",Diesel,4,5,Audi
Audi A3,Sportback 30 TFSI S tronic,23990,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-30-tfsi-s-tronic-110-compacto-automatico-2023-102699,https://storage.googleapis.com/clicars-storage-prod-public/photos/34/60/14/0947b630ac8c02923dc91205e242fe1d-23117103-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2023,37.902km,110CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi
Audi A3,Sportback 30 TFSI S tronic,24190,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-30-tfsi-s-tronic-110-compacto-automatico-2023-102716,https://storage.googleapis.com/clicars-storage-prod-public/photos/68/60/14/e9019eb1dfc2633bbcf8e8637ebc74c1-23143210-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2023,39.935km,110CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi
Audi A3,Sportback 30 TFSI S tronic,24190,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-30-tfsi-s-tronic-110-compacto-automatico-2023-102721,https://storage.googleapis.com/clicars-storage-prod-public/photos/00/63/14/6a789f0b5c7a1ebb6fa52c2c9c609faf-23225936-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2023,40.652km,110CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi
Audi A3,Sportback 30 TFSI S tronic,24190,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-30-tfsi-s-tronic-110-compacto-automatico-2023-102703,https://storage.googleapis.com/clicars-storage-prod-public/photos/23/60/14/b8a51cce23d4c95bcc1f46ed06ad894a-23114722-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2023,40.670km,110CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi
