Price,Year,Kms,Potencia,renta_encoded,familia_encoded,frecuencia_uso_encoded,experiencia_conduccion_encoded,vacaciones_freq,sector_freq,comunidad_autonoma_freq,condiciones_conduccion_freq,tipo_combustible.1_freq,Marca_freq,probability,prediction_class
15890,2022,94.381,130,2,0,1,1,0.29627374573794446,0.11002191914271797,0.12871407696054554,0.698307355090112,0.30144909887968824,0.1620798830979055,0.09322406615982275,0
28990,2023,14.572,200,2,0,2,1,0.19715051144666343,0.09005114466634194,0.009376522162688748,0.698307355090112,0.282513395031661,0.05674622503653191,0.09198099689941916,0
13190,2020,122.2,95,2,1,2,0,0.29627374573794446,0.09005114466634194,0.05528494885533366,0.09248660496833902,0.30144909887968824,0.05674622503653191,0.08380361421100464,0
24590,2024,18.041,140,0,1,2,1,0.5065757428153921,0.15112031173891866,0.04736970287384316,0.20920603994154896,0.282513395031661,0.0495007306380906,0.08948673824138495,0
14590,2024,7.501,100,1,1,2,1,0.29627374573794446,0.11002191914271797,0.16762055528494885,0.20920603994154896,0.39704091573307354,0.1620798830979055,0.1035830111746977,0
18190,2023,29.399,120,5,0,0,0,0.29627374573794446,0.18813930832927422,0.05528494885533366,0.20920603994154896,0.39704091573307354,0.032696054554310766,0.10678940984569965,0
22090,2022,42.187,261,2,2,2,2,0.5065757428153921,0.09005114466634194,0.04736970287384316,0.698307355090112,0.282513395031661,0.008280565026790063,0.0882809796524632,0
12990,2023,17.682,100,0,2,0,1,0.5065757428153921,0.10326351680467609,0.12871407696054554,0.20920603994154896,0.39704091573307354,0.1620798830979055,0.09523529403025191,0
13290,2019,39.932,110,4,2,2,1,0.5065757428153921,0.18813930832927422,0.05528494885533366,0.20920603994154896,0.39704091573307354,0.08865075499269362,0.0924541106041828,0
10490,2015,40.676,82,3,1,1,1,0.5065757428153921,0.11002191914271797,0.16762055528494885,0.20920603994154896,0.39704091573307354,0.1620798830979055,0.07946249049897958,0
14290,2017,89.241,132,0,0,1,1,0.29627374573794446,0.11002191914271797,0.16762055528494885,0.698307355090112,0.39704091573307354,0.02959084266926449,0.08564315709629688,0
10290,2018,115.834,95,1,0,1,0,0.29627374573794446,0.10326351680467609,0.13200194836824158,0.20920603994154896,0.39704091573307354,0.053153921091086215,0.08718285253885967,0
21790,2022,51.394,261,3,0,0,2,0.29627374573794446,0.09005114466634194,0.16762055528494885,0.698307355090112,0.282513395031661,0.008280565026790063,0.11135408375139215,0
13890,2021,40.61,136,3,2,1,2,0.5065757428153921,0.15112031173891866,0.16762055528494885,0.698307355090112,0.018996590355577204,0.06715781782756941,0.07243656584625642,0
14590,2023,17.236,110,2,0,2,1,0.29627374573794446,0.11002191914271797,0.12871407696054554,0.698307355090112,0.30144909887968824,0.06715781782756941,0.10248720259514024,0
15890,2020,116.215,116,0,2,1,0,0.19715051144666343,0.11002191914271797,0.03452264978080857,0.698307355090112,0.282513395031661,0.032696054554310766,0.0850552831692434,0
11190,2024,26.688,83,1,2,0,0,0.5065757428153921,0.09005114466634194,0.12871407696054554,0.698307355090112,0.39704091573307354,0.08865075499269362,0.11192022274858557,0
21490,2020,145.948,150,1,1,1,1,0.5065757428153921,0.15112031173891866,0.049074525085241114,0.698307355090112,0.30144909887968824,0.06039941548952752,0.0924577724347915,0
14590,2024,7.501,100,4,2,1,0,0.5065757428153921,0.050414028251339504,0.13200194836824158,0.20920603994154896,0.39704091573307354,0.1620798830979055,0.12978631514540856,0
19090,2020,88.06,150,1,1,1,1,0.29627374573794446,0.09005114466634194,0.16762055528494885,0.698307355090112,0.39704091573307354,0.06039941548952752,0.08442792330689516,0
14490,2015,93.742,143,3,1,0,2,0.19715051144666343,0.09005114466634194,0.17748416950803703,0.20920603994154896,0.30144909887968824,0.006575742815392109,0.07979354581930527,0
9490,2019,96.758,100,3,2,1,2,0.29627374573794446,0.050535801266439355,0.049074525085241114,0.698307355090112,0.39704091573307354,0.01747442766682903,0.08785830927920145,0
13590,2019,86.837,130,3,1,2,2,0.5065757428153921,0.10326351680467609,0.026668290306867997,0.698307355090112,0.39704091573307354,0.006636629322942036,0.08133904326194799,0
14590,2022,73.624,120,3,1,2,0,0.5065757428153921,0.15112031173891866,0.16762055528494885,0.698307355090112,0.39704091573307354,0.03038236726741354,0.08141155016624003,0
16690,2020,103.092,116,2,1,0,1,0.29627374573794446,0.11002191914271797,0.12871407696054554,0.20920603994154896,0.282513395031661,0.032696054554310766,0.08833970853651132,0
24090,2020,69.764,136,1,2,2,0,0.5065757428153921,0.15112031173891866,0.17748416950803703,0.09248660496833902,0.282513395031661,0.03044325377496347,0.08539452022154811,0
22090,2022,42.187,261,1,1,0,0,0.5065757428153921,0.18813930832927422,0.12871407696054554,0.698307355090112,0.282513395031661,0.008280565026790063,0.11593062811206149,0
16590,2021,119.459,130,1,1,0,1,0.5065757428153921,0.10326351680467609,0.029347296639064782,0.698307355090112,0.30144909887968824,0.08865075499269362,0.09763348756464474,0
37690,2020,107.76,245,3,1,0,1,0.5065757428153921,0.050535801266439355,0.13200194836824158,0.698307355090112,0.30144909887968824,0.029103750608865074,0.12255809147978021,0
12490,2023,14.506,100,4,1,1,0,0.19715051144666343,0.18813930832927422,0.13200194836824158,0.698307355090112,0.39704091573307354,0.06715781782756941,0.09285805718417335,0
14990,2021,54.827,100,2,1,2,1,0.29627374573794446,0.05211885046273746,0.009376522162688748,0.20920603994154896,0.39704091573307354,0.05674622503653191,0.09767583561494177,0
14090,2024,27.738,100,1,1,2,1,0.29627374573794446,0.18813930832927422,0.17748416950803703,0.698307355090112,0.39704091573307354,0.1620798830979055,0.09777837204926064,0
12290,2020,66.662,100,3,1,1,0,0.29627374573794446,0.11002191914271797,0.16762055528494885,0.20920603994154896,0.39704091573307354,0.0495007306380906,0.08388142483119845,0
15190,2024,15.714,110,4,1,2,2,0.5065757428153921,0.04688261081344374,0.12871407696054554,0.698307355090112,0.39704091573307354,0.06715781782756941,0.10060524111648732,0
10790,2018,152.754,75,3,1,1,0,0.29627374573794446,0.10326351680467609,0.03452264978080857,0.698307355090112,0.30144909887968824,0.08865075499269362,0.0818218938541068,0
13590,2024,19.393,100,3,2,1,2,0.5065757428153921,0.09005114466634194,0.13200194836824158,0.698307355090112,0.39704091573307354,0.06715781782756941,0.09964516207047686,0
11490,2020,124.566,100,3,1,2,1,0.29627374573794446,0.11002191914271797,0.029347296639064782,0.20920603994154896,0.30144909887968824,0.08865075499269362,0.08976233314714469,0
14090,2021,74.557,100,0,1,2,0,0.19715051144666343,0.11002191914271797,0.023380418899171942,0.20920603994154896,0.30144909887968824,0.06715781782756941,0.089951088330533,0
12090,2022,20.168,110,5,2,1,1,0.5065757428153921,0.11002191914271797,0.17748416950803703,0.698307355090112,0.39704091573307354,0.08865075499269362,0.09176365786762805,0
12690,2022,43.321,100,3,2,2,0,0.5065757428153921,0.18813930832927422,0.17748416950803703,0.698307355090112,0.30144909887968824,0.1620798830979055,0.08889266578919197,0
18090,2018,93.376,122,4,1,0,0,0.5065757428153921,0.18813930832927422,0.16762055528494885,0.698307355090112,0.282513395031661,0.03044325377496347,0.08363063192075595,0
16390,2024,11.492,90,3,1,1,2,0.5065757428153921,0.18813930832927422,0.029347296639064782,0.698307355090112,0.39704091573307354,0.05674622503653191,0.11528082888476174,0
15890,2022,39.514,130,0,1,2,1,0.5065757428153921,0.09005114466634194,0.17748416950803703,0.698307355090112,0.30144909887968824,0.03038236726741354,0.08367922784482237,0
13190,2020,122.2,95,2,1,2,0,0.19715051144666343,0.05211885046273746,0.12871407696054554,0.20920603994154896,0.30144909887968824,0.05674622503653191,0.08885604535871625,0
10490,2019,57.845,90,3,1,1,1,0.29627374573794446,0.15112031173891866,0.12871407696054554,0.698307355090112,0.39704091573307354,0.05674622503653191,0.08256955071718158,0
18990,2023,27.887,130,2,0,2,2,0.29627374573794446,0.052788602045786656,0.12871407696054554,0.698307355090112,0.282513395031661,0.03038236726741354,0.09299531371742023,0
10890,2019,81.623,125,0,1,0,1,0.29627374573794446,0.05211885046273746,0.17748416950803703,0.698307355090112,0.39704091573307354,0.06715781782756941,0.08934498792529787,0
17790,2017,119.979,120,4,1,1,1,0.5065757428153921,0.15112031173891866,0.04736970287384316,0.20920603994154896,0.30144909887968824,0.0034705309303458354,0.0846977093141175,0
16190,2021,126.033,115,2,1,1,1,0.5065757428153921,0.050535801266439355,0.04736970287384316,0.698307355090112,0.30144909887968824,0.06039941548952752,0.09766197682867866,0
12990,2023,44.554,110,2,1,0,1,0.5065757428153921,0.10326351680467609,0.17748416950803703,0.698307355090112,0.39704091573307354,0.08865075499269362,0.10029441172296463,0
22590,2021,43.165,150,1,0,2,1,0.29627374573794446,0.052788602045786656,0.13200194836824158,0.698307355090112,0.39704091573307354,0.03044325377496347,0.08760234852318813,0
20890,2022,76.072,150,4,2,1,1,0.5065757428153921,0.09005114466634194,0.13200194836824158,0.20920603994154896,0.282513395031661,0.032696054554310766,0.07900958958312448,0
17890,2020,64.629,141,2,0,2,0,0.29627374573794446,0.10326351680467609,0.12871407696054554,0.698307355090112,0.282513395031661,0.02959084266926449,0.08496831447081675,0
15490,2024,21.797,130,3,1,2,0,0.19715051144666343,0.15112031173891866,0.04736970287384316,0.09248660496833902,0.39704091573307354,0.06715781782756941,0.1029178701458893,0
23690,2020,68.934,150,1,2,0,0,0.5065757428153921,0.052788602045786656,0.17748416950803703,0.698307355090112,0.30144909887968824,0.05029225523623965,0.08154785838074075,0
18590,2024,35.601,140,4,1,2,1,0.5065757428153921,0.10326351680467609,0.03001704822211398,0.20920603994154896,0.282513395031661,0.01747442766682903,0.09617118288964913,0
16890,2018,48.456,109,0,1,2,1,0.19715051144666343,0.18813930832927422,0.17748416950803703,0.698307355090112,0.30144909887968824,0.0017048222113979542,0.08541070264885492,0
21590,2024,5.466,122,3,2,0,2,0.5065757428153921,0.052788602045786656,0.12871407696054554,0.698307355090112,0.282513395031661,0.016195811008280565,0.13598828827010923,0
14290,2017,125.853,179,2,1,2,0,0.5065757428153921,0.15112031173891866,0.04736970287384316,0.698307355090112,0.30144909887968824,0.1620798830979055,0.09721649984848327,0
18590,2024,35.601,140,1,1,1,2,0.29627374573794446,0.15112031173891866,0.029347296639064782,0.698307355090112,0.282513395031661,0.01747442766682903,0.08549016214357472,0
18990,2024,12.78,130,0,0,2,2,0.19715051144666343,0.15112031173891866,0.16762055528494885,0.698307355090112,0.30144909887968824,0.08865075499269362,0.10842597110261891,0
30890,2022,52.058,136,2,2,2,0,0.5065757428153921,0.050414028251339504,0.03452264978080857,0.698307355090112,0.282513395031661,0.03044325377496347,0.09598088552994767,0
22490,2020,76.596,150,3,2,0,1,0.19715051144666343,0.15112031173891866,0.009376522162688748,0.698307355090112,0.30144909887968824,0.06039941548952752,0.0881220282012138,0
10290,2018,115.834,95,3,0,2,2,0.5065757428153921,0.18813930832927422,0.13200194836824158,0.698307355090112,0.39704091573307354,0.053153921091086215,0.08492994073437929,0
16390,2021,26.418,100,2,2,2,1,0.29627374573794446,0.10466390647832441,0.13200194836824158,0.698307355090112,0.30144909887968824,0.1620798830979055,0.09434477842629564,0
14190,2024,20.277,100,0,1,2,2,0.5065757428153921,0.11002191914271797,0.05010959571358987,0.20920603994154896,0.39704091573307354,0.1620798830979055,0.0924479370366127,0
11790,2024,18.556,83,1,1,1,1,0.5065757428153921,0.10326351680467609,0.05010959571358987,0.698307355090112,0.39704091573307354,0.08865075499269362,0.10345053972377286,0
10290,2020,136.791,100,2,0,0,1,0.29627374573794446,0.050535801266439355,0.12871407696054554,0.698307355090112,0.30144909887968824,0.1620798830979055,0.09643624582503343,0
20490,2021,56.377,224,3,1,1,2,0.5065757428153921,0.050414028251339504,0.17748416950803703,0.698307355090112,0.282513395031661,0.1620798830979055,0.10115116825755202,0
19990,2021,105.232,220,2,1,1,1,0.29627374573794446,0.11002191914271797,0.13200194836824158,0.698307355090112,0.282513395031661,0.006575742815392109,0.08957779557081638,0
