Maker,Version,Price,URL Producto,URL Imagen,Year,Kms,Potencia,Puertas,Plazas,plaza_parking,renta_encoded,familia_encoded,frecuencia_uso_encoded,experiencia_conduccion_encoded,vacaciones_freq,sector_freq,comunidad_autonoma_freq,condiciones_conduccion_freq,Caja_velocidades_freq,tipo_combustible_freq,tipo_combustible.1_freq,Marca_freq,prediccion
Abarth 595,1.4T JET,16590.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-abarth-595-595-1-4t-jet-107kw-145-compacto-manual-2022-102942,https://storage.googleapis.com/clicars-storage-prod-public/photos/05/65/14/f278134ac90ffd614aadad00a97507ab-23303623-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2022,35.973,145,4,4,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.5902338041889917,0.0,0.39704091573307354,0.0004870920603994155,0.13470870089141998
Abarth 595,595C 1.4T JET TURISMO AUT.,16390.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-abarth-595-595c-1-4t-jet-turismo-aut-121kw-165-cabrio-automatico-2021-99574,https://storage.googleapis.com/clicars-storage-prod-public/photos/88/34/14/ca94e1a08b34e4d636514f16ec64a6ac-22193547-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2021,63.037,165,4,4,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.39704091573307354,0.0004870920603994155,0.09567639455972901
Abarth 595,595C 1.4T JET TURISMO AUT.,18190.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-abarth-595-595c-1-4t-jet-turismo-aut-121kw-165-cabrio-automatico-2021-99576,https://storage.googleapis.com/clicars-storage-prod-public/photos/81/52/14/b82fb4a70d4410f3534935dc6455e900-22814994-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2021,63.843,165,4,4,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.39704091573307354,0.0004870920603994155,0.09567639455972901
Alfa Romeo Giulietta,1.6JTD Super 120,12690.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-alfa-romeo-giulietta-giulietta-1-6jtd-super-120-120-compacto-manual-2019-101502,https://storage.googleapis.com/clicars-storage-prod-public/photos/19/51/14/a8d646ec7c0c9d5db3630d3a5dd29cef-22763484-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2019,139.248,120,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.5902338041889917,0.0,0.30144909887968824,0.003896736483195324,0.09145226687239766
Alfa Romeo Stelvio,2.2 Veloce Q4 210 Aut.,25490.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-alfa-romeo-stelvio-stelvio-2-2-veloce-q4-210-aut-210-suv-y-4x4-automatico-2021-103484,https://storage.googleapis.com/clicars-storage-prod-public/photos/73/70/14/9a66109fabf524f841bf90c3a4e2ee6f-23531858-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2021,137.749,210,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.30144909887968824,0.003896736483195324,0.09443601296169576
Alfa Romeo Tonale,1.5 MHEV Sprint FWD,23690.0,https://www.clicars.com/coches-nuevos-km0/comprar-alfa-romeo-tonale-tonale-1-5-mhev-sprint-fwd-130-suv-y-4x4-automatico-2023-99208,https://storage.googleapis.com/clicars-storage-prod-public/photos/07/71/14/5361733b396d14d66ea6bb5540a46820-23537734-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2023,8.148,130,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.003896736483195324,0.09618893148258131
Alfa Romeo Tonale,1.5 MHEV Sprint FWD,23690.0,https://www.clicars.com/coches-nuevos-km0/comprar-alfa-romeo-tonale-tonale-1-5-mhev-sprint-fwd-130-suv-y-4x4-automatico-2023-99206,https://storage.googleapis.com/clicars-storage-prod-public/photos/54/66/14/1ed2ad3f8900756d9935ab0976908015-23352784-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2023,9.909,130,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.003896736483195324,0.08704422203156127
Audi A1,Sportback 1.6TDI Adrenalin,13490.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a1-a1-sportback-1-6tdi-adrenalin-116-compacto-manual-2017-103977,https://storage.googleapis.com/clicars-storage-prod-public/photos/00/68/14/a1c256bfd9671be99753d888fe46d6cf-23409224-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2017,137.174,116,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.5902338041889917,0.0,0.30144909887968824,0.03044325377496347,0.0879252924100316
Audi A1,Sportback 25 TFSI Advanced,14790.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a1-a1-sportback-25-tfsi-advanced-95-compacto-manual-2019-103713,https://storage.googleapis.com/clicars-storage-prod-public/photos/26/71/14/ce0ec8c27f22d1f76590eaeee4298e8e-23553700-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2019,73.517,95,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.5902338041889917,0.0,0.39704091573307354,0.03044325377496347,0.08678779190100322
Audi A1,Sportback 25 TFSI Advanced,15490.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a1-a1-sportback-25-tfsi-advanced-95-compacto-manual-2021-101432,https://storage.googleapis.com/clicars-storage-prod-public/photos/83/60/14/3391d6c3a092a10dd5944c8a049771ce-23144830-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2021,92.862,95,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.5902338041889917,0.0,0.39704091573307354,0.03044325377496347,0.08448887863223173
