id,renta,condiciones_conduccion,vacaciones,sector,comunidad_autonoma,familia,tipo_combustible,uso_habitual,cambio,plaza_parking
1,20000 - 35000,buen clima,montaña,Tecnología,Canarias,"Si, grande",electrico,uso particular ocasional,Manual,Si
2,- 12000,buen clima,montaña,Tecnología,Andalucía,No,hibrido,uso particular ocasional,Manual,Si
3,- 12000,buen clima,ciudad,Salud,Baleares,"Si, grande",gasolina,uso particular ocasional,Manual,No
4,20000 - 35000,buen clima,ciudad,Comercio,Castilla y León,No,electrico,uso particular ocasional,Manual,Si
5,20000 - 35000,nieve,montaña,Energía,Navarra,"Si, grande",hibrido,uso particular ocasional,Automatico,Si
6,20000 - 35000,buen clima,ciudad,Salud,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
7,20000 - 35000,buen clima,playa,Tecnología,Madrid,"Si, pequeña",diesel,uso particular habitual,Manual,No
8,12000 - 20000,nieve,playa,Tecnología,Andalucía,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
9,35000-60000,buen clima,ciudad,Salud,La Rioja,"Si, pequeña",hibrido,uso particular ocasional,Automatico,No
10,20000 - 35000,buen clima,montaña,Tecnología,Baleares,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
11,20000 - 35000,buen clima,playa,Tecnología,Madrid,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
12,+ 100000,buen clima,montaña,Tecnología,Aragón,"Si, grande",gasolina,uso particular habitual,Manual,Si
13,12000 - 20000,nieve,montaña,Industria Construccion y Manufactura,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,No
14,12000 - 20000,nieve,playa,Entretenimiento y Medios,Andalucía,No,hibrido,uso particular habitual,Automatico,No
15,35000-60000,buen clima,montaña,Salud,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
16,12000 - 20000,buen clima,ciudad,Industria Construccion y Manufactura,Andalucía,"Si, grande",diesel,uso particular habitual,Manual,Si
17,12000 - 20000,nieve,playa,Salud,Asturias,"Si, grande",diesel,uso particular ocasional,Manual,Si
18,12000 - 20000,buen clima,montaña,Salud,Andalucía,"Si, grande",gasolina,uso particular ocasional,Automatico,No
19,35000-60000,buen clima,montaña,Transporte y Logística,Galicia,"Si, pequeña",diesel,uso particular habitual,Manual,Si
20,12000 - 20000,off-road,montaña,Servicios Financieros,Cantabria,No,hibrido,uso particular habitual,Manual,Si
21,20000 - 35000,nieve,ciudad,Comercio,Aragón,"Si, pequeña",diesel,viajes largos,Automatico,Si
22,20000 - 35000,buen clima,ciudad,Servicios Financieros,Castilla-La Mancha,No,electrico,uso particular habitual,Manual,No
23,20000 - 35000,nieve,ciudad,Tecnología,Galicia,"Si, pequeña",electrico,uso particular ocasional,Automatico,No
24,35000-60000,nieve,ciudad,Industria Construccion y Manufactura,Canarias,No,diesel,uso particular habitual,Manual,Si
25,35000-60000,buen clima,ciudad,Salud,Navarra,"Si, pequeña",diesel,viajes largos,Automatico,Si
26,20000 - 35000,buen clima,ciudad,Educación,Navarra,"Si, grande",diesel,uso particular ocasional,Manual,No
27,20000 - 35000,buen clima,ciudad,Salud,Canarias,"Si, pequeña",gasolina,viajes largos,Manual,Si
28,20000 - 35000,nieve,ciudad,Transporte y Logística,Galicia,"Si, pequeña",gasolina,uso particular habitual,Manual,No
29,35000-60000,buen clima,playa,Turismo y Ocio,Baleares,"Si, pequeña",diesel,viajes largos,Manual,No
30,35000-60000,buen clima,ciudad,Servicios Financieros,Andalucía,"Si, grande",diesel,uso particular habitual,Manual,Si
31,60000 - 100000,off-road,ciudad,Tecnología,Baleares,"Si, pequeña",diesel,uso particular habitual,Automatico,No
32,12000 - 20000,nieve,montaña,Industria Construccion y Manufactura,Baleares,"Si, grande",diesel,uso particular ocasional,Automatico,Si
33,60000 - 100000,buen clima,ciudad,Salud,Baleares,"Si, pequeña",hibrido,uso particular ocasional,Manual,No
34,35000-60000,buen clima,montaña,Entretenimiento y Medios,Asturias,"Si, pequeña",diesel,uso particular habitual,Manual,No
35,20000 - 35000,buen clima,montaña,Energía,Castilla-La Mancha,No,diesel,uso particular ocasional,Manual,Si
36,20000 - 35000,buen clima,playa,Comercio,Murcia,"Si, grande",gasolina,uso particular ocasional,Manual,No
37,60000 - 100000,buen clima,playa,Comercio,Asturias,"Si, pequeña",diesel,uso particular ocasional,Automatico,No
38,- 12000,nieve,montaña,Industria Construccion y Manufactura,Andalucía,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
39,+ 100000,nieve,montaña,Comercio,Aragón,"Si, pequeña",gasolina,uso particular habitual,Manual,No
40,- 12000,nieve,montaña,Salud,Andalucía,"Si, grande",diesel,uso particular ocasional,Manual,No
41,20000 - 35000,buen clima,ciudad,Educación,Andalucía,No,diesel,uso particular habitual,Manual,No
42,20000 - 35000,nieve,montaña,Comercio,Andalucía,"Si, grande",electrico,uso particular habitual,Automatico,No
43,12000 - 20000,nieve,playa,Industria Construccion y Manufactura,Canarias,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
44,- 12000,buen clima,montaña,Industria Construccion y Manufactura,Cataluña,"Si, grande",hibrido,viajes largos,Automatico,Si
45,20000 - 35000,nieve,playa,Entretenimiento y Medios,Aragón,"Si, pequeña",diesel,uso particular habitual,Automatico,No
46,12000 - 20000,nieve,montaña,Educación,Galicia,"Si, grande",diesel,uso particular habitual,Manual,No
47,20000 - 35000,buen clima,playa,Transporte y Logística,Asturias,"Si, grande",diesel,uso particular habitual,Manual,No
48,- 12000,buen clima,ciudad,Otros,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
49,20000 - 35000,buen clima,montaña,Comercio,Andalucía,No,gasolina,uso particular habitual,Automatico,Si
50,- 12000,buen clima,montaña,Entretenimiento y Medios,Castilla-La Mancha,"Si, grande",diesel,uso particular ocasional,Manual,Si
51,35000-60000,buen clima,montaña,Tecnología,Aragón,"Si, grande",diesel,uso particular ocasional,Manual,Si
52,20000 - 35000,nieve,montaña,Tecnología,Cantabria,"Si, grande",diesel,uso particular habitual,Manual,Si
53,60000 - 100000,buen clima,montaña,Servicios Financieros,Andalucía,"Si, pequeña",diesel,viajes largos,Manual,No
54,12000 - 20000,off-road,playa,Tecnología,Canarias,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
55,20000 - 35000,buen clima,playa,Servicios Financieros,Asturias,"Si, grande",gasolina,viajes largos,Manual,No
56,35000-60000,nieve,montaña,Servicios Financieros,Andalucía,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
57,12000 - 20000,nieve,ciudad,Tecnología,Cataluña,"Si, grande",diesel,uso particular ocasional,Automatico,Si
58,12000 - 20000,buen clima,ciudad,Energía,Valencia,"Si, grande",diesel,uso particular habitual,Manual,Si
59,35000-60000,buen clima,montaña,Salud,Asturias,"Si, grande",diesel,uso particular ocasional,Manual,No
60,12000 - 20000,buen clima,ciudad,Energía,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
61,12000 - 20000,nieve,playa,Servicios Financieros,Andalucía,"Si, grande",gasolina,uso particular ocasional,Manual,Si
62,60000 - 100000,nieve,playa,Servicios Financieros,Canarias,"Si, pequeña",hibrido,uso particular ocasional,Automatico,Si
63,20000 - 35000,buen clima,montaña,Tecnología,Baleares,"Si, pequeña",gasolina,uso particular ocasional,Automatico,No
64,20000 - 35000,buen clima,playa,Salud,Baleares,"Si, grande",diesel,uso particular habitual,Manual,Si
65,35000-60000,nieve,ciudad,Servicios Financieros,Cataluña,"Si, pequeña",diesel,uso particular ocasional,Manual,No
66,60000 - 100000,buen clima,montaña,Entretenimiento y Medios,País Vasco,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
67,60000 - 100000,buen clima,montaña,Comercio,Asturias,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
68,35000-60000,buen clima,montaña,Comercio,Cantabria,No,gasolina,uso particular ocasional,Automatico,Si
69,60000 - 100000,buen clima,montaña,Salud,Baleares,"Si, pequeña",hibrido,uso particular habitual,Manual,Si
70,20000 - 35000,buen clima,playa,Energía,Andalucía,"Si, grande",diesel,viajes largos,Manual,No
71,20000 - 35000,buen clima,playa,Tecnología,Andalucía,No,diesel,uso particular habitual,Automatico,No
72,- 12000,buen clima,montaña,Otros,Madrid,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
73,20000 - 35000,nieve,montaña,Tecnología,Navarra,No,gasolina,uso particular ocasional,Manual,Si
74,12000 - 20000,nieve,ciudad,Energía,Andalucía,"Si, pequeña",electrico,uso particular ocasional,Manual,No
75,20000 - 35000,buen clima,montaña,Tecnología,Baleares,"Si, grande",gasolina,viajes largos,Manual,Si
76,35000-60000,buen clima,ciudad,Salud,Murcia,"Si, pequeña",diesel,uso particular ocasional,Manual,No
77,20000 - 35000,buen clima,montaña,Tecnología,Canarias,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
78,12000 - 20000,buen clima,montaña,Tecnología,Galicia,"Si, pequeña",diesel,uso particular habitual,Manual,Si
79,20000 - 35000,off-road,montaña,Tecnología,Asturias,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
80,12000 - 20000,buen clima,montaña,Industria Construccion y Manufactura,Asturias,No,diesel,uso particular ocasional,Manual,No
81,35000-60000,nieve,ciudad,Salud,Extremadura,"Si, pequeña",diesel,uso particular ocasional,Manual,No
82,- 12000,buen clima,montaña,Energía,Andalucía,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
83,- 12000,nieve,ciudad,Industria Construccion y Manufactura,Madrid,"Si, grande",gasolina,uso particular ocasional,Manual,Si
84,60000 - 100000,buen clima,montaña,Salud,Andalucía,No,diesel,uso particular habitual,Automatico,Si
85,20000 - 35000,nieve,ciudad,Salud,Cataluña,"Si, pequeña",gasolina,uso particular habitual,Manual,No
86,60000 - 100000,nieve,playa,Salud,Canarias,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
87,12000 - 20000,buen clima,ciudad,Tecnología,Aragón,"Si, grande",gasolina,uso particular ocasional,Manual,No
88,60000 - 100000,buen clima,ciudad,Industria Construccion y Manufactura,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Automatico,No
89,12000 - 20000,off-road,ciudad,Salud,Aragón,"Si, grande",electrico,uso particular habitual,Automatico,No
90,12000 - 20000,buen clima,ciudad,Transporte y Logística,Aragón,"Si, grande",gasolina,uso particular ocasional,Manual,Si
91,12000 - 20000,buen clima,ciudad,Otros,Extremadura,No,diesel,uso particular ocasional,Automatico,Si
92,12000 - 20000,buen clima,ciudad,Educación,Aragón,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
93,20000 - 35000,nieve,montaña,Salud,Baleares,"Si, pequeña",diesel,viajes largos,Manual,No
94,12000 - 20000,buen clima,playa,Salud,Castilla-La Mancha,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
95,- 12000,off-road,playa,Comercio,Aragón,"Si, pequeña",gasolina,uso particular habitual,Automatico,No
96,12000 - 20000,nieve,playa,Otros,Cataluña,"Si, pequeña",electrico,uso particular ocasional,Manual,Si
97,35000-60000,buen clima,montaña,Turismo y Ocio,La Rioja,No,gasolina,uso particular ocasional,Manual,Si
98,35000-60000,buen clima,montaña,Salud,Asturias,No,gasolina,uso particular habitual,Manual,Si
99,+ 100000,buen clima,montaña,Servicios Financieros,Cataluña,"Si, pequeña",diesel,uso particular habitual,Manual,Si
100,20000 - 35000,buen clima,playa,Comercio,País Vasco,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
101,+ 100000,off-road,montaña,Servicios Financieros,Baleares,No,electrico,uso particular ocasional,Manual,No
102,35000-60000,buen clima,montaña,Industria Construccion y Manufactura,Castilla-La Mancha,"Si, grande",diesel,uso particular ocasional,Manual,No
103,12000 - 20000,buen clima,playa,Tecnología,Castilla y León,"Si, grande",diesel,uso particular ocasional,Manual,No
104,20000 - 35000,buen clima,montaña,Servicios Financieros,La Rioja,"Si, pequeña",diesel,uso particular habitual,Manual,Si
105,20000 - 35000,nieve,montaña,Energía,Canarias,No,electrico,viajes largos,Manual,Si
106,60000 - 100000,buen clima,ciudad,Otros,Aragón,"Si, grande",gasolina,uso particular ocasional,Automatico,No
107,12000 - 20000,off-road,montaña,Salud,Castilla-La Mancha,"Si, pequeña",diesel,uso particular ocasional,Manual,No
108,12000 - 20000,nieve,montaña,Servicios Financieros,Castilla y León,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
109,20000 - 35000,buen clima,ciudad,Comercio,Baleares,"Si, pequeña",electrico,uso particular habitual,Automatico,No
110,20000 - 35000,buen clima,montaña,Salud,Canarias,"Si, grande",hibrido,uso particular ocasional,Automatico,No
111,20000 - 35000,buen clima,montaña,Salud,Canarias,"Si, pequeña",diesel,uso particular habitual,Manual,Si
112,35000-60000,buen clima,playa,Transporte y Logística,Madrid,No,gasolina,uso particular ocasional,Automatico,Si
113,60000 - 100000,off-road,montaña,Entretenimiento y Medios,Aragón,No,diesel,viajes largos,Manual,No
114,12000 - 20000,buen clima,ciudad,Turismo y Ocio,Aragón,"Si, pequeña",hibrido,uso particular ocasional,Manual,Si
115,60000 - 100000,nieve,montaña,Entretenimiento y Medios,Asturias,"Si, grande",hibrido,uso particular habitual,Manual,Si
116,20000 - 35000,nieve,ciudad,Tecnología,Andalucía,No,diesel,viajes largos,Manual,No
117,- 12000,buen clima,ciudad,Entretenimiento y Medios,Baleares,No,diesel,uso particular habitual,Manual,Si
118,+ 100000,buen clima,montaña,Comercio,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,No
119,60000 - 100000,off-road,ciudad,Tecnología,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
120,60000 - 100000,buen clima,playa,Tecnología,Aragón,"Si, pequeña",diesel,uso particular habitual,Manual,No
121,- 12000,buen clima,montaña,Industria Construccion y Manufactura,Aragón,"Si, grande",diesel,uso particular ocasional,Manual,No
122,35000-60000,buen clima,playa,Entretenimiento y Medios,Asturias,"Si, pequeña",diesel,uso particular habitual,Manual,No
123,35000-60000,buen clima,ciudad,Tecnología,Galicia,"Si, grande",hibrido,uso particular habitual,Automatico,No
124,20000 - 35000,buen clima,montaña,Tecnología,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
125,+ 100000,buen clima,montaña,Salud,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,Si
126,20000 - 35000,nieve,playa,Tecnología,Aragón,"Si, grande",gasolina,uso particular habitual,Manual,No
127,12000 - 20000,nieve,ciudad,Tecnología,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,No
128,12000 - 20000,buen clima,ciudad,Tecnología,Castilla-La Mancha,"Si, pequeña",diesel,uso particular habitual,Manual,Si
129,20000 - 35000,buen clima,playa,Salud,Aragón,"Si, grande",diesel,uso particular ocasional,Manual,Si
130,12000 - 20000,buen clima,ciudad,Energía,País Vasco,"Si, pequeña",electrico,uso particular ocasional,Manual,Si
131,35000-60000,nieve,playa,Tecnología,Baleares,"Si, grande",diesel,uso particular ocasional,Automatico,Si
132,12000 - 20000,buen clima,ciudad,Energía,Madrid,"Si, grande",diesel,uso particular habitual,Manual,Si
133,- 12000,buen clima,montaña,Entretenimiento y Medios,Asturias,"Si, pequeña",gasolina,viajes largos,Automatico,No
134,35000-60000,nieve,playa,Comercio,Cantabria,"Si, pequeña",diesel,uso particular habitual,Manual,No
135,- 12000,buen clima,montaña,Salud,Asturias,"Si, grande",diesel,uso particular habitual,Automatico,Si
136,35000-60000,buen clima,ciudad,Salud,Canarias,"Si, pequeña",diesel,uso particular habitual,Manual,Si
137,+ 100000,buen clima,montaña,Energía,Andalucía,"Si, grande",gasolina,uso particular habitual,Automatico,Si
138,20000 - 35000,buen clima,ciudad,Salud,Castilla y León,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
139,20000 - 35000,nieve,ciudad,Entretenimiento y Medios,Aragón,"Si, grande",diesel,uso particular habitual,Automatico,No
140,12000 - 20000,nieve,playa,Salud,Andalucía,"Si, grande",diesel,uso particular habitual,Manual,Si
141,35000-60000,buen clima,ciudad,Energía,Andalucía,"Si, grande",diesel,uso particular ocasional,Manual,No
142,12000 - 20000,buen clima,montaña,Servicios Financieros,Extremadura,No,diesel,uso particular ocasional,Manual,Si
143,60000 - 100000,buen clima,playa,Servicios Financieros,Canarias,"Si, grande",gasolina,uso particular ocasional,Automatico,Si
144,20000 - 35000,buen clima,ciudad,Turismo y Ocio,Asturias,No,gasolina,uso particular ocasional,Automatico,No
145,35000-60000,nieve,ciudad,Tecnología,Aragón,"Si, grande",diesel,uso particular habitual,Automatico,Si
146,12000 - 20000,nieve,montaña,Salud,Murcia,"Si, pequeña",diesel,uso particular ocasional,Automatico,No
147,20000 - 35000,buen clima,playa,Industria Construccion y Manufactura,País Vasco,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si
148,12000 - 20000,buen clima,ciudad,Salud,Baleares,"Si, grande",diesel,uso particular habitual,Manual,No
149,20000 - 35000,buen clima,montaña,Servicios Financieros,Aragón,No,diesel,uso particular habitual,Manual,No
150,60000 - 100000,buen clima,montaña,Salud,Aragón,"Si, grande",hibrido,uso particular ocasional,Automatico,No
151,60000 - 100000,nieve,ciudad,Comercio,Asturias,"Si, pequeña",electrico,uso particular ocasional,Automatico,No
152,- 12000,buen clima,montaña,Energía,Extremadura,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
153,12000 - 20000,buen clima,montaña,Energía,Aragón,"Si, grande",hibrido,uso particular ocasional,Automatico,No
154,+ 100000,buen clima,playa,Servicios Financieros,Aragón,No,diesel,uso particular habitual,Manual,No
155,12000 - 20000,buen clima,montaña,Comercio,Baleares,"Si, pequeña",diesel,viajes largos,Automatico,No
156,60000 - 100000,buen clima,ciudad,Tecnología,Asturias,"Si, pequeña",gasolina,viajes largos,Manual,Si
157,60000 - 100000,buen clima,playa,Energía,Aragón,"Si, grande",diesel,uso particular ocasional,Automatico,Si
158,60000 - 100000,buen clima,montaña,Comercio,Aragón,"Si, grande",gasolina,uso particular ocasional,Manual,No
159,12000 - 20000,buen clima,montaña,Salud,Castilla-La Mancha,No,diesel,uso particular ocasional,Manual,No
160,- 12000,buen clima,montaña,Salud,Andalucía,No,hibrido,uso particular habitual,Manual,Si
161,35000-60000,buen clima,ciudad,Turismo y Ocio,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
162,- 12000,buen clima,ciudad,Comercio,Castilla-La Mancha,No,gasolina,viajes largos,Manual,No
163,60000 - 100000,nieve,montaña,Energía,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,No
164,20000 - 35000,buen clima,montaña,Servicios Financieros,Murcia,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
165,35000-60000,buen clima,montaña,Salud,Cataluña,No,gasolina,uso particular habitual,Manual,No
166,12000 - 20000,nieve,playa,Salud,Andalucía,"Si, pequeña",hibrido,uso particular ocasional,Manual,No
167,20000 - 35000,nieve,ciudad,Turismo y Ocio,Galicia,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
168,20000 - 35000,buen clima,playa,Tecnología,Canarias,"Si, pequeña",hibrido,uso particular habitual,Manual,Si
169,20000 - 35000,buen clima,montaña,Comercio,Aragón,"Si, pequeña",diesel,uso particular habitual,Manual,Si
170,20000 - 35000,nieve,ciudad,Energía,Extremadura,"Si, pequeña",gasolina,uso particular habitual,Manual,No
171,12000 - 20000,buen clima,playa,Salud,Baleares,"Si, pequeña",gasolina,uso particular habitual,Manual,No
172,+ 100000,buen clima,montaña,Industria Construccion y Manufactura,Madrid,"Si, grande",electrico,uso particular habitual,Manual,Si
173,20000 - 35000,buen clima,montaña,Salud,Baleares,"Si, grande",gasolina,uso particular ocasional,Manual,Si
174,35000-60000,buen clima,montaña,Turismo y Ocio,Aragón,"Si, pequeña",diesel,uso particular ocasional,Automatico,No
175,20000 - 35000,buen clima,playa,Salud,Castilla-La Mancha,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
176,20000 - 35000,buen clima,playa,Servicios Financieros,Baleares,"Si, grande",gasolina,uso particular ocasional,Automatico,Si
177,20000 - 35000,off-road,playa,Servicios Financieros,Asturias,"Si, grande",diesel,uso particular ocasional,Manual,Si
178,- 12000,nieve,montaña,Tecnología,Andalucía,"Si, pequeña",electrico,uso particular ocasional,Manual,Si
179,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,Castilla-La Mancha,"Si, pequeña",diesel,uso particular ocasional,Automatico,No
180,60000 - 100000,buen clima,montaña,Tecnología,Galicia,"Si, pequeña",diesel,uso particular habitual,Manual,Si
181,12000 - 20000,nieve,montaña,Salud,Aragón,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
182,12000 - 20000,buen clima,playa,Industria Construccion y Manufactura,Galicia,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
183,60000 - 100000,off-road,playa,Educación,Baleares,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
184,+ 100000,buen clima,montaña,Otros,Andalucía,No,hibrido,uso particular habitual,Automatico,Si
185,20000 - 35000,buen clima,playa,Otros,La Rioja,No,diesel,uso particular ocasional,Automatico,No
186,20000 - 35000,nieve,playa,Transporte y Logística,Canarias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
187,60000 - 100000,buen clima,playa,Otros,Aragón,"Si, pequeña",diesel,uso particular habitual,Automatico,No
188,- 12000,nieve,montaña,Comercio,Galicia,"Si, pequeña",gasolina,uso particular habitual,Manual,No
189,- 12000,buen clima,montaña,Tecnología,Aragón,No,gasolina,uso particular ocasional,Automatico,No
190,+ 100000,buen clima,montaña,Energía,Baleares,No,hibrido,uso particular ocasional,Manual,Si
191,- 12000,nieve,montaña,Servicios Financieros,Andalucía,No,gasolina,uso particular ocasional,Manual,No
192,60000 - 100000,buen clima,montaña,Salud,Andalucía,"Si, pequeña",gasolina,uso particular habitual,Manual,No
193,12000 - 20000,buen clima,playa,Otros,Cantabria,"Si, pequeña",diesel,uso particular ocasional,Manual,No
194,35000-60000,buen clima,montaña,Transporte y Logística,Andalucía,"Si, grande",gasolina,uso particular ocasional,Automatico,No
195,20000 - 35000,buen clima,montaña,Otros,Aragón,"Si, pequeña",electrico,viajes largos,Manual,No
196,20000 - 35000,buen clima,ciudad,Comercio,Cataluña,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
197,20000 - 35000,buen clima,ciudad,Educación,Extremadura,No,diesel,uso particular ocasional,Automatico,No
198,- 12000,buen clima,playa,Energía,Asturias,No,diesel,uso particular ocasional,Automatico,No
199,35000-60000,buen clima,montaña,Comercio,Asturias,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si
200,60000 - 100000,buen clima,playa,Servicios Financieros,Baleares,No,gasolina,viajes largos,Automatico,No
201,35000-60000,buen clima,montaña,Industria Construccion y Manufactura,Asturias,"Si, pequeña",diesel,uso particular habitual,Manual,Si
202,35000-60000,buen clima,ciudad,Energía,Asturias,"Si, grande",electrico,viajes largos,Manual,No
203,+ 100000,buen clima,montaña,Tecnología,Aragón,No,diesel,uso particular habitual,Manual,Si
204,12000 - 20000,off-road,ciudad,Energía,Murcia,No,diesel,uso particular ocasional,Manual,Si
205,20000 - 35000,buen clima,ciudad,Turismo y Ocio,Castilla y León,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
206,60000 - 100000,buen clima,montaña,Tecnología,Valencia,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
207,- 12000,buen clima,playa,Salud,Baleares,"Si, pequeña",gasolina,uso particular ocasional,Automatico,No
208,20000 - 35000,buen clima,montaña,Educación,Aragón,"Si, pequeña",diesel,uso particular habitual,Manual,No
209,+ 100000,off-road,montaña,Entretenimiento y Medios,Asturias,"Si, pequeña",hibrido,uso particular ocasional,Manual,Si
210,+ 100000,buen clima,montaña,Salud,Asturias,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
211,20000 - 35000,buen clima,ciudad,Comercio,Asturias,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
212,20000 - 35000,nieve,montaña,Entretenimiento y Medios,Aragón,"Si, grande",diesel,uso particular habitual,Manual,Si
213,20000 - 35000,buen clima,ciudad,Salud,Aragón,"Si, grande",diesel,uso particular habitual,Manual,No
214,12000 - 20000,buen clima,montaña,Tecnología,Andalucía,"Si, grande",diesel,uso particular habitual,Manual,Si
215,20000 - 35000,buen clima,montaña,Tecnología,Cantabria,"Si, pequeña",diesel,uso particular habitual,Manual,Si
216,20000 - 35000,nieve,playa,Turismo y Ocio,Andalucía,"Si, grande",diesel,uso particular ocasional,Automatico,No
217,- 12000,buen clima,playa,Servicios Financieros,Canarias,"Si, grande",gasolina,uso particular habitual,Manual,No
218,35000-60000,off-road,montaña,Servicios Financieros,Andalucía,No,gasolina,viajes largos,Manual,Si
219,- 12000,buen clima,ciudad,Energía,Baleares,No,gasolina,uso particular ocasional,Manual,No
220,12000 - 20000,nieve,ciudad,Transporte y Logística,Baleares,"Si, pequeña",hibrido,uso particular habitual,Manual,Si
